Date,Steps
2023-04-01,2621
2023-04-02,0
2023-04-03,15610
2023-04-04,0
2023-04-05,1852
2023-04-06,0
2023-04-07,0
2023-04-08,0
2023-04-09,0
2023-04-10,0
2023-04-11,0
2023-04-12,0
2023-04-13,0
2023-04-14,0
2023-04-15,0
2023-04-16,0
2023-04-17,0
2023-04-18,0
2023-04-19,3258
2023-04-20,0
2023-04-21,6105
2023-04-22,20485
2023-04-23,14395
2023-04-24,4094
2023-04-25,2065
2023-04-26,4014
2023-04-27,11692
2023-04-28,12006
2023-04-29,10210
2023-04-30,8411
2023-05-01,14025
2023-05-02,12770
2023-05-03,12939
2023-05-04,13066
2023-05-05,9910
2023-05-06,4232
2023-05-07,1098
2023-05-08,10099
2023-05-09,12510
2023-05-10,12807
2023-05-11,15426
2023-05-12,14959
2023-05-13,5261
2023-05-14,3877
2023-05-15,15266
2023-05-16,16037
2023-05-17,11942
2023-05-18,14119
2023-05-19,14198
2023-05-20,14580
2023-05-21,15073
2023-05-22,13406
2023-05-23,3370
2023-05-24,4576
2023-05-25,3459
2023-05-26,4656
2023-05-27,2429
2023-05-28,0
2023-05-29,5213
2023-05-30,17059
2023-05-31,16024
2023-06-01,10485
2023-06-02,12206
2023-06-03,15540
2023-06-04,2885
2023-06-05,7463
2023-06-06,16782
2023-06-07,16335
2023-06-08,3444
2023-06-09,13912
2023-06-10,14480
2023-06-11,13773
2023-06-12,21035
2023-06-13,19133
2023-06-14,15424
2023-06-15,13827
2023-06-16,17250
2023-06-17,12945
2023-06-18,13262
2023-06-19,19880
2023-06-20,15089
2023-06-21,18621
2023-06-22,16365
2023-06-23,8603
2023-06-24,8696
2023-06-25,9110
2023-06-26,7421
2023-06-27,5869
2023-06-28,6928
2023-06-29,10297
2023-06-30,12240
2023-07-01,12719
2023-07-02,4679
2023-07-03,12582
2023-07-04,13475
2023-07-05,18173
2023-07-06,10763
2023-07-07,11005
2023-07-08,13892
2023-07-09,3850
2023-07-10,11897
2023-07-11,11415
2023-07-12,18395
2023-07-13,15789
2023-07-14,14127
2023-07-15,14165
2023-07-16,16735
2023-07-17,11276
2023-07-18,13095
2023-07-19,13074
2023-07-20,14934
2023-07-21,16520
2023-07-22,17896
2023-07-23,14942
2023-07-24,11905
2023-07-25,13813
2023-07-26,15753
2023-07-27,19258
2023-07-28,15089
2023-07-29,14486
2023-07-30,17565
2023-07-31,16617
2023-08-01,14100
2023-08-02,14573
2023-08-03,11345
2023-08-04,16068
2023-08-05,10706
2023-08-06,15433
2023-08-07,11142
2023-08-08,13784
2023-08-09,13933
2023-08-10,13520
2023-08-11,10630
2023-08-12,15225
2023-08-13,21287
2023-08-14,11474
2023-08-15,13043
2023-08-16,17735
2023-08-17,13396
2023-08-18,13109
2023-08-19,10410
2023-08-20,18172
2023-08-21,14636
2023-08-22,19029
2023-08-23,17673
2023-08-24,13001
2023-08-25,13073
2023-08-26,19037
2023-08-27,31124
2023-08-28,16766
2023-08-29,17342
2023-08-30,14369
2023-08-31,12567
2023-09-01,13267
2023-09-02,10219
2023-09-03,12647
2023-09-04,10633
2023-09-05,16473
2023-09-06,17233
2023-09-07,16359
2023-09-08,18703
2023-09-09,3650
2023-09-10,3013
2023-09-11,14772
2023-09-12,13120
2023-09-13,15179
2023-09-14,22234
2023-09-15,13758
2023-09-16,11210
2023-09-17,23710
2023-09-18,15989
2023-09-19,13020
2023-09-20,12859
2023-09-21,11120
2023-09-22,24792
2023-09-23,27506
2023-09-24,10487
2023-09-25,10644
2023-09-26,23158
2023-09-27,16248
2023-09-28,15060
2023-09-29,12858
2023-09-30,14632
2023-10-01,10511
2023-10-02,11218
2023-10-03,10042
2023-10-04,17568
2023-10-05,23881
2023-10-06,13544
2023-10-07,23750
2023-10-08,2948
2023-10-09,17818
2023-10-10,12000
2023-10-11,14430
2023-10-12,15263
2023-10-13,14742
2023-10-14,23307
2023-10-15,15182
2023-10-16,14077
2023-10-17,13076
2023-10-18,20073
2023-10-19,12973
2023-10-20,13979
2023-10-21,27948
2023-10-22,10796
2023-10-23,14976
2023-10-24,13801
2023-10-25,12599
2023-10-26,12037
2023-10-27,13556
2023-10-28,18582
2023-10-29,14126
2023-10-30,18866
2023-10-31,14407
2023-11-01,14637
2023-11-02,23542
2023-11-03,13712
2023-11-04,27789
2023-11-05,3666
2023-11-06,11098
2023-11-07,10837
2023-11-08,15463
2023-11-09,26358
2023-11-10,14563
2023-11-11,16902
2023-11-12,3872
2023-11-13,2213
2023-11-14,14848
2023-11-15,10331
2023-11-16,16036
2023-11-17,12559
2023-11-18,10028
2023-11-19,17033
2023-11-20,10267
2023-11-21,15756
2023-11-22,12196
2023-11-23,6648
2023-11-24,10250
2023-11-25,21700
2023-11-26,15029
2023-11-27,20027
2023-11-28,19875
2023-11-29,6487
2023-11-30,21806
2023-12-01,17589
2023-12-02,18733
2023-12-03,29167
2023-12-04,14402
2023-12-05,12579
2023-12-06,13105
2023-12-07,12023
2023-12-08,17331
2023-12-09,2122
2023-12-10,9462
2023-12-11,13845
2023-12-12,19728
2023-12-13,12061
2023-12-14,22303
2023-12-15,17742
2023-12-16,10636
2023-12-17,7172
2023-12-18,14357
2023-12-19,10913
2023-12-20,12296
2023-12-21,8814
2023-12-22,16719
2023-12-23,3913
2023-12-24,14414
2023-12-25,12519
2023-12-26,10244
2023-12-27,11935
2023-12-28,14904
2023-12-29,14863
2023-12-30,17778
2023-12-31,18515
